Country,Product,Flow,2021
Belgium,Nuclear,"Oil refineries, transformation (PJ)",0
Belgium,Nuclear,Total final consumption (PJ),0
Belgium,Nuclear,Industry (PJ),0
Belgium,Nuclear,Transport (PJ),0
Belgium,Nuclear,Residential (PJ),0
Belgium,Nuclear,Commercial and public services (PJ),0
Belgium,Nuclear,Other final consumption (PJ),0
Belgium,Renewables and waste,Production (PJ),193.3756646
Belgium,Renewables and waste,Imports (PJ),52.3021085
Belgium,Renewables and waste,Exports (PJ),-12.99911802
Belgium,Renewables and waste,Total energy supply (PJ),232.6786467
Belgium,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-132.3600424
Belgium,Renewables and waste,"Oil refineries, transformation (PJ)",0
Belgium,Renewables and waste,Total final consumption (PJ),98.90335289
Belgium,Renewables and waste,Industry (PJ),34.92567851
Belgium,Renewables and waste,Transport (PJ),30.80227085
Belgium,Renewables and waste,Residential (PJ),28.42702804
Belgium,Renewables and waste,Commercial and public services (PJ),3.269099495
Belgium,Renewables and waste,Other final consumption (PJ),1.479271802
Belgium,Electricity,Production (PJ),0
Belgium,Electricity,Imports (PJ),54.6969581
Belgium,Electricity,Exports (PJ),-83.05235836
Belgium,Electricity,Total energy supply (PJ),-28.35540026
Belgium,Electricity,"Electricity, CHP and heat plants (PJ)",356.5296001
Belgium,Electricity,"Oil refineries, transformation (PJ)",0
Belgium,Electricity,Total final consumption (PJ),292.9039183
Belgium,Electricity,Industry (PJ),137.6420381
Belgium,Electricity,Transport (PJ),6.535079824
Belgium,Electricity,Residential (PJ),69.3630003
Belgium,Electricity,Commercial and public services (PJ),73.35575887
Belgium,Electricity,Other final consumption (PJ),6.008041253
Belgium,Heat,Production (PJ),9.678801406
Belgium,Heat,Imports (PJ),0
Belgium,Heat,Exports (PJ),0
Belgium,Heat,Total energy supply (PJ),9.678801406
Belgium,Heat,"Electricity, CHP and heat plants (PJ)",20.71400041
Belgium,Heat,"Oil refineries, transformation (PJ)",0
Belgium,Heat,Total final consumption (PJ),19.08970204
Belgium,Heat,Industry (PJ),15.35609802
Belgium,Heat,Transport (PJ),0
Belgium,Heat,Residential (PJ),0.615300502
Belgium,Heat,Commercial and public services (PJ),3.07290186
Belgium,Heat,Other final consumption (PJ),0.045401659
Canada,"Coal, peat and oil shale",Production (PJ),1051.014024
Canada,"Coal, peat and oil shale",Imports (PJ),197.5478904
Canada,"Coal, peat and oil shale",Exports (PJ),-798.5867235
Canada,"Coal, peat and oil shale",Total energy supply (PJ),425.2049687
Canada,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-316.6814924
Canada,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Canada,"Coal, peat and oil shale",Total final consumption (PJ),88.83905187
Canada,"Coal, peat and oil shale",Industry (PJ),84.07747122
Canada,"Coal, peat and oil shale",Transport (PJ),0
Canada,"Coal, peat and oil shale",Residential (PJ),0
Canada,"Coal, peat and oil shale",Commercial and public services (PJ),0
Canada,"Coal, peat and oil shale",Other final consumption (PJ),4.761576464
Canada,"Crude, NGL and feedstocks",Production (PJ),11711.62387
Canada,"Crude, NGL and feedstocks",Imports (PJ),1500.367773
Canada,"Crude, NGL and feedstocks",Exports (PJ),-8587.468171
Canada,"Crude, NGL and feedstocks",Total energy supply (PJ),4644.779093
Canada,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Canada,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-4416.154294
Canada,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Canada,"Crude, NGL and feedstocks",Industry (PJ),0
Canada,"Crude, NGL and feedstocks",Transport (PJ),0
Canada,"Crude, NGL and feedstocks",Residential (PJ),0
Canada,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Canada,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Canada,Oil products,Production (PJ),0
Canada,Oil products,Imports (PJ),419.4771458
Canada,Oil products,Exports (PJ),-993.6359148
Canada,Oil products,Total energy supply (PJ),-667.7761237
Canada,Oil products,"Electricity, CHP and heat plants (PJ)",-54.07540252
Canada,Oil products,"Oil refineries, transformation (PJ)",4201.191677
Canada,Oil products,Total final consumption (PJ),3464.089556
Canada,Oil products,Industry (PJ),235.7739354
Canada,Oil products,Transport (PJ),2084.799061
Canada,Oil products,Residential (PJ),55.35397169
Canada,Oil products,Commercial and public services (PJ),50.96921979
Canada,Oil products,Other final consumption (PJ),1037.193364
Canada,Natural gas,Production (PJ),6742.710001
Canada,Natural gas,Imports (PJ),855.7811999
Canada,Natural gas,Exports (PJ),-2812.566598
Canada,Natural gas,Total energy supply (PJ),4885.463701
Canada,Natural gas,"Electricity, CHP and heat plants (PJ)",-739.0647003
Canada,Natural gas,"Oil refineries, transformation (PJ)",0
Canada,Natural gas,Total final consumption (PJ),2131.3818
Canada,Natural gas,Industry (PJ),676.2897009
Canada,Natural gas,Transport (PJ),156.8843992
Canada,Natural gas,Residential (PJ),565.5401994
Canada,Natural gas,Commercial and public services (PJ),561.0473987
Canada,Natural gas,Other final consumption (PJ),171.6201014
Canada,Nuclear,Production (PJ),1010.498181
Canada,Nuclear,Imports (PJ),0
Canada,Nuclear,Exports (PJ),0
Canada,Nuclear,Total energy supply (PJ),1010.498181
Canada,Nuclear,"Electricity, CHP and heat plants (PJ)",-1010.498181
Canada,Nuclear,"Oil refineries, transformation (PJ)",0
Canada,Nuclear,Total final consumption (PJ),0
Canada,Nuclear,Industry (PJ),0
Canada,Nuclear,Transport (PJ),0
Canada,Nuclear,Residential (PJ),0
Canada,Nuclear,Commercial and public services (PJ),0
Canada,Nuclear,Other final consumption (PJ),0
Canada,Renewables and waste,Production (PJ),2056.015271
Canada,Renewables and waste,Imports (PJ),48.82890669
Canada,Renewables and waste,Exports (PJ),-78.60626565
Canada,Renewables and waste,Total energy supply (PJ),2028.243926
Canada,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-1633.928196
Canada,Renewables and waste,"Oil refineries, transformation (PJ)",0
Canada,Renewables and waste,Total final consumption (PJ),406.1304522
Canada,Renewables and waste,Industry (PJ),233.787998
Canada,Renewables and waste,Transport (PJ),90.10745549
Canada,Renewables and waste,Residential (PJ),79.80799867
